,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id
130,0.511,0.654,8,-6.133,1,0.314,0.053,0.0,0.316,0.279,154.868,156663,4,7CdoE8U5DwrwCaLoyf3ME0
131,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4,527k23H0A4Q0UJN3vGs0Da
132,0.586,0.547,4,-7.383,0,0.095,0.502,0.0,0.0963,0.35,75.911,159817,4,65QRS8iMQ1TsQ93fPZIZ4i
133,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.883,210252,4,0Jlcvv8IykzHaSmj49uNW8
134,0.537,0.686,5,-5.022,1,0.0293,0.0287,0.00709,0.0988,0.611,78.052,190973,4,47qZzTLLJcuD69AIKnquo4
135,0.565,0.835,9,-3.379,1,0.0335,0.34,0.0,0.0726,0.763,105.007,220120,4,693NFnfJZt16AFDaZqlflo
136,0.433,0.443,1,-10.568,0,0.0361,0.0922,0.000293,0.117,0.0363,79.903,185851,3,551xyaSJsg8hILXFq9JdST
137,0.852,0.745,11,-3.667,0,0.171,0.0313,0.0,0.0824,0.897,148.007,195681,4,6mtjo5kIHKlboGE84lf1FJ
138,0.594,0.6,2,-6.712,1,0.0498,0.306,0.0,0.149,0.5,145.967,232165,4,7Ce11Oh1kConF6UlkBWnaZ
139,0.624,0.903,6,-3.046,1,0.0347,0.00824,0.0,0.309,0.724,116.99,211430,4,4lSfhHd5Knwl8yQw2cVjAD
140,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,208155,4,2ygvZOXrIeVL4xZmAWJT2C
141,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130.022,147800,4,5RqR4ZCCKJDcBLIn4sih9l
142,0.509,0.493,0,-6.676,1,0.0266,0.0397,1.32e-06,0.102,0.264,97.846,173961,4,5o6dFqafETxZNqUFt9ZqAC
143,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4,0nbXyq5TXYPCO7pr3N8S4I
144,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,212869,4,364dI1bYnvamSnBJ8JcNzN
145,0.527,0.943,4,-3.56,1,0.065,0.0249,0.0,0.373,0.584,140.132,184573,4,5blHL2xSCGv00fr1DGuvEf
146,0.641,0.842,9,-4.872,1,0.0464,0.0969,0.0,0.169,0.738,89.997,193427,4,6NhS5LwYbJ6xD7BGvlWRJO
147,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.002,197293,4,7yFhA2fUsL2oIMWlw5DaHQ
148,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4,7eJMfftS33KTjuF7lTsMCx
149,0.61,0.569,10,-9.447,0,0.345,0.0398,0.0,0.337,0.287,81.409,304640,4,0FlfN5cbUUpIHCRH8X1M44
150,0.764,0.676,11,-6.761,0,0.0927,0.389,0.0,0.215,0.461,97.02,197938,4,3NWrHCwvyII4fTx05PN3IO
151,0.595,0.528,5,-7.371,0,0.0935,0.082,0.0,0.142,0.515,150.075,179464,4,4F6YLjakjqWFTgC5qfEwPQ
152,0.752,0.673,10,-5.792,0,0.153,0.0538,0.0,0.133,0.35,164.009,163902,4,2QqJTIlGKRLJC3onkavYEz
153,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4,4wVOKKEHUJxHCFFNUWDn0B
154,0.621,0.695,4,-5.124,1,0.0911,0.00584,0.0,0.086,0.298,173.966,136408,4,7AvprzMsRJpybaalckaT8c
155,0.616,0.849,0,-4.897,1,0.0373,0.311,0.0,0.311,0.638,113.065,223320,4,0nGXi46VcQQ56ZJR428MKS
156,0.707,0.67,7,-6.328,0,0.257,0.0813,0.0,0.098,0.235,163.099,200629,4,0440JCJyIAmINA8KcYgFb5
157,0.661,0.665,4,-6.356,0,0.053,0.538,0.0,0.0981,0.486,75.059,147548,4,7pbg3ABlAZv2NiIdKbBBFm
158,0.739,0.616,7,-6.963,0,0.0338,0.252,1.93e-06,0.101,0.654,91.071,158466,4,5kkaSMcf4BFlhRRICCKZb6
159,0.654,0.452,7,-6.36,1,0.0439,0.17,0.0,0.114,0.532,138.034,186749,4,7d94IqWX2UmSKMGUYSGFJG
160,0.745,0.5,8,-6.184,1,0.135,0.439,0.0,0.0943,0.433,76.968,168685,4,21CkzgKCBCq5V4XKjiGSIj
161,0.567,0.545,1,-6.668,0,0.0448,0.168,0.0,0.112,0.234,174.146,176650,4,1YM6c2sxbf2Jacl9IFgn4I
162,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.948,242181,4,5dOxHHMOFAbG3VH23t0xNm
163,0.547,0.822,5,-2.85,1,0.0334,0.602,0.0,0.107,0.553,81.981,193027,4,28uL97M3whSL1UWqr7hsNh
164,0.868,0.55,6,-6.417,1,0.226,0.183,0.0,0.109,0.464,117.943,154767,4,0fCwrjKfWxF3xQhZrYUw4T
165,0.867,0.744,2,-5.171,1,0.227,0.268,0.0,0.0713,0.645,84.005,173288,4,4cSSL3YafYjM3yjgFO1vJg
166,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480,4,4nK5YrxbMGZstTLbvj6Gxw
167,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059,4,127QTOFJsJQp5LbJbu3A1y
168,0.585,0.641,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.284,197530,4,7ge7BHazYbVKi8qyZUX1Bm
169,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,158571,4,1Cv1YLb4q0RzL6pybtaMLo
170,0.747,0.622,11,-5.825,1,0.0838,0.176,0.0,0.151,0.57,159.93,181661,4,4K06PO78fW4mnBVenxGNob
171,0.689,0.689,4,-5.517,1,0.045,0.23,0.0,0.57,0.664,130.069,204760,4,10xuH52YSXHWFwCaF1fsDd
172,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4,4TnjEaWOeW0eKTKIEvJyCa
173,0.661,0.633,7,-5.986,1,0.0348,0.038,2.75e-06,0.124,0.613,81.984,209760,4,0kPeZAyIhIfeZNrtfjJGDB
174,0.815,0.567,10,-4.653,0,0.135,0.156,0.0,0.0884,0.732,95.034,151641,4,2dzja72gQodveSpguIQGJl
175,0.589,0.684,1,-4.51,0,0.394,0.143,0.0,0.214,0.261,112.592,196542,5,6HM2tjTLqJi0poAkCdnNTB
176,0.883,0.299,2,-8.382,1,0.105,0.23,7.62e-06,0.162,0.55,136.982,158329,4,6jGyDvL1Rf4XfwTb25o1HN
177,0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.144,0.77,122.012,220051,4,6xZ4Q2k2ompmDppyeESIY8
178,0.715,0.827,4,-5.09,0,0.0617,0.0485,3.61e-05,0.321,0.75,117.977,185277,4,77fvnWALKJR0ws1VUx09CY
179,0.806,0.749,1,-5.268,1,0.328,0.0838,0.0,0.0621,0.77,140.032,145167,4,1orjH4IkSH9VrWmRCToKV8
180,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,237520,4,7szuecWAPwGoV1e5vGu8tl
181,0.639,0.546,1,-5.382,1,0.0407,0.0837,0.0,0.122,0.149,122.179,173124,4,4uqh9bualXNHXXwO2wPorc
182,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,172127,4,0SqqAgdovOE24BzxIClpjw
183,0.592,0.928,11,-5.402,1,0.0558,0.0166,1.5e-05,0.123,0.393,121.996,221600,4,2IuazAsyvbb3fFZb0Uvsmk
184,0.698,0.572,2,-7.735,1,0.198,0.135,0.0,0.154,0.391,71.446,176959,4,5XzombolzpiaOSTdj1W0VS
185,0.617,0.849,10,-4.316,0,0.0355,0.0146,0.0,0.194,0.695,106.998,213493,4,1z6wl2rwKatfmza6usanWw
186,0.586,0.512,8,-8.819,0,0.0668,0.723,0.0002,0.119,0.235,75.857,235480,4,1oOEkBNp4zWnkD7nWjJdog
187,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178.462,132303,4,4NhDYoQTYCdWHTvlbGVgwo
188,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,3ZCTVFBt2Brf31RLEnCkWJ
189,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,188344,1,2mt1IqcFyY1zmYZT8Q3xw9
190,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4,79s5XnCN4TJKTVMSmOx8Ep
